SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_DSPARK_PROPOSER_BLOCK_MAX	integer 0..UINT32_MAX; 0/invalid keeps native size; unset uses auto caps for exact-N/exact2; positive values cap the block and are limited by DS4_DSPARK_MAX_BLOCK_SIZE	Cap the CUDA DSpark proposal block length.	ds4.c:52618
runtime/cuda	DS4_CUDA_DSPARK_TINY_ALIGNED_VEC	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Use aligned routed-MoE vector kernels for tiny DSpark batches.	ds4_cuda.cu:29523
runtime/cuda	DS4_CUDA_ENABLE_DSPARK_NONCAUSAL_ONLINE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Enable the small-batch noncausal online-attention DSpark experiment.	ds4_cuda.cu:21690
runtime/cuda	DS4_CUDA_ENABLE_HC_NORM_MIX_FUSE	nonempty opt-in, default off; only exact 0 disables; the F32/F16 activation mode follows the selected standalone matmul path; disable/serial/alternate flags can veto	Enable and select the fused HC RMSNorm-plus-mix one-token implementation.	ds4_cuda.cu:20902
runtime/cuda	DS4_CUDA_ENABLE_IQ2_XXS_SSD_PREFILL_MMQ	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable the CUDA IQ2 XXS SSD prefill MMQ experimental path.	ds4_cuda.cu:4625
runtime/cuda	DS4_CUDA_ENABLE_Q4_ATTN_OUT_HC_FUSE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Opt in to the fused Q4 attention-output/HC expansion path.	ds4_cuda.cu:37375
runtime/cuda	DS4_CUDA_ENABLE_Q4_GROUPED_ATTN_A_BATCH	value-aware opt-in, default off; nonempty value other than exact 0 enables; rollback wins	Enable flattened grouped attention-A MMQ for two-to-eight-token GB10 batches.	cuda/mmq/ds4_mmq.cu:4313
runtime/cuda	DS4_CUDA_ENABLE_Q4_K1024_PERSISTENT	presence flag, default off; any defined value including 0 requests the path; rollback wins	Enable the GB10 persistent-CTA kernel for M=32768, N=1, K=1024 Q4.	cuda/mmq/ds4_mmq.cu:3915
runtime/cuda	DS4_CUDA_ENABLE_Q8_FOLD	strict flag, default off; only exact value 1 enables; overridden by DS4_CUDA_NO_Q8_FOLD	Enable one-shot producer-to-consumer reuse of freshly quantized Q8_1 data.	ds4_cuda.cu:785
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_EXPERT_PERSISTENT_CACHE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming expert persistent cache in CUDA SSD streaming.	ds4_cuda.cu:4111
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_SELECTED_BATCH_IO	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming selected batch I/O in CUDA SSD streaming.	ds4_cuda.cu:4732
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_SELECTED_EVENT_PIPELINE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming selected event pipeline in CUDA SSD streaming.	ds4_cuda.cu:4864
runtime/cuda	DS4_CUDA_END_STREAM_SYNC	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize only CUDA stream 0 at command-batch end instead of synchronizing the whole device.	ds4_cuda.cu:376
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_CHUNK	integer scores/chunk; default 512; clamped 1..8192	Tune exact score split chunk for exact score-split CUDA decode attention.	ds4_cuda.cu:13669
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_DECODE	value-aware boolean, default on; exact 0 disables; a nonzero explicit setting also takes precedence over split-KV selection	Control the exact score-split decode-attention implementation.	ds4_cuda.cu:13631
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_DIM2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split dim2 for exact score-split CUDA decode attention.	ds4_cuda.cu:387
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_FUSE_INV_ROPE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split fuse inv rope for exact score-split CUDA decode attention.	ds4_cuda.cu:390
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_GRAPH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split graph for exact score-split CUDA decode attention.	ds4_cuda.cu:379
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_LDG	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split ldg for exact score-split CUDA decode attention.	ds4_cuda.cu:381
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_MIN_SCORE	integer score count; default 1; clamped 0..8192	Set the minimum visible-score count for exact score-split decode.	ds4_cuda.cu:13665
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S	integer exact split count; unset/invalid = automatic; valid value clamped 1..16	Tune exact score split s for exact score-split CUDA decode attention.	ds4_cuda.cu:13679
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S_FLOOR	integer split count; default 6; clamped 1..16	Tune exact score split s floor for exact score-split CUDA decode attention.	ds4_cuda.cu:13672
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S_MAX	integer split count; default 16; clamped 1..16	Tune exact score split s max for exact score-split CUDA decode attention.	ds4_cuda.cu:13675
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_VEC4	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split vec4 for exact score-split CUDA decode attention.	ds4_cuda.cu:383
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_VEC4_PLAIN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split vec4 plain for exact score-split CUDA decode attention.	ds4_cuda.cu:385
runtime/cuda	DS4_CUDA_F16_CUBLAS_ONE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 cuBLAS one CUDA F16 matmul path.	ds4_cuda.cu:20852
runtime/cuda	DS4_CUDA_F16_SMALL_BATCH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 small batch CUDA F16 matmul path.	ds4_cuda.cu:20837
runtime/cuda	DS4_CUDA_F16_SMALL_OUT	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 small out CUDA F16 matmul path.	ds4_cuda.cu:20819
runtime/cuda	DS4_CUDA_GLM_VERIFY_NO_Q8_TOK2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control or tune the CUDA glm verify no Q8 tok2 path.	ds4_cuda.cu:19824
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable greedy split-KV fast attention.	ds4.c:17250
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_FALLBACK_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy splitkv fallback log in CUDA greedy fast decode.	ds4.c:55928
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_MARGIN	nonnegative finite float; default 0.25; invalid value warns and uses 0.25; 0 disables margin fallback	Control greedy splitkv margin in CUDA greedy fast decode.	ds4.c:17328
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_MAX_SEGMENT	integer 0..INT32_MAX; default/invalid 0 (segment cap disabled)	Control greedy splitkv max segment in CUDA greedy fast decode.	ds4.c:17404
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_PAIR_REPLAY	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Replay greedy split-KV tokens in pairs.	ds4.c:17378
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TOP2	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Use top-2 output margins with greedy split-KV.	ds4.c:17360
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TRACE	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy splitkv trace in CUDA greedy fast decode.	ds4.c:55963
runtime/cuda	DS4_CUDA_GREEDY_SPLITKV_TRUST_REPLAY	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Trust replayed greedy split-KV results without the normal confirmation policy.	ds4.c:17368
runtime/cuda	DS4_CUDA_GREEDY_SPLIT_TOP1	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable split top-1 selection in greedy CUDA decode.	ds4.c:17222
runtime/cuda	DS4_CUDA_GREEDY_TOP1	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control greedy top1 in CUDA greedy fast decode.	ds4.c:56391
runtime/cuda	DS4_CUDA_GREEDY_VEC4	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable greedy vec4 fast attention.	ds4.c:17260
runtime/cuda	DS4_CUDA_GREEDY_VEC4_FALLBACK_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy vec4 fallback log in CUDA greedy fast decode.	ds4.c:55929
runtime/cuda	DS4_CUDA_GREEDY_VEC4_MARGIN	nonnegative finite float; default 0.25; invalid value warns and uses 0.25; 0 disables margin fallback	Control greedy vec4 margin in CUDA greedy fast decode.	ds4.c:17298
runtime/cuda	DS4_CUDA_GREEDY_VEC4_MAX_SEGMENT	integer 0..INT32_MAX; default/invalid 0 (segment cap disabled)	Control greedy vec4 max segment in CUDA greedy fast decode.	ds4.c:17412
runtime/cuda	DS4_CUDA_GREEDY_VEC4_TRACE	presence diagnostic flag; default off; any defined value including 0 enables	Control greedy vec4 trace in CUDA greedy fast decode.	ds4.c:55992
runtime/cuda	DS4_CUDA_INDEXED_TWOPASS	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Force the two-pass indexed-attention path instead of the fused heads8 online kernel.	ds4_cuda.cu:23587
runtime/cuda	DS4_CUDA_IQ2_XXS_SSD_PREFILL_MMQ_STATS	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Print CUDA IQ2 XXS SSD prefill MMQ counters.	ds4_cuda.cu:4633
runtime/cuda	DS4_CUDA_KEEP_MODEL_PAGES	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Keep source model pages resident instead of advising the OS to discard copied pages.	ds4_cuda.cu:2840
runtime/cuda	DS4_CUDA_MIXED_PREFILL_DECODE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control native mixed prefill/decode scheduling.	ds4.c:71327
runtime/cuda	DS4_CUDA_MIXED_ROUTED_MAX_PREFILL	integer rows 0..UINT32_MAX; default/invalid 512	Set the maximum prefill rows admitted to the mixed routed-MoE path.	ds4.c:70816
runtime/cuda	DS4_CUDA_MIXED_ROUTED_SCATTER	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Use scattered row handling in mixed routed-MoE execution.	ds4.c:70277
runtime/cuda	DS4_CUDA_MMQ	boolean-ish, default on; any value beginning with 0 disables; quality mode and multi-GPU disable normal MMQ tier (MXFP4 path differs)	Control the vendored CUDA MMQ prefill tier.	ds4_cuda.cu:1722
runtime/cuda	DS4_CUDA_MMQ_Q81_PERSISTENT	strict boolean, default off; accepts 1/on/true/yes and 0/off/false/no in listed lower/upper-case forms; unknown values are off	Reuse a persistent Q8_1 MMQ scratch arena on supported GB10 devices.	cuda/mmq/ds4_mmq.cu:152
